Vintage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2013,0.914774868,0.93242488,0.993789284,1.051807291,0.95351855,1.0484435,1.025428105,1.005238498,1.023010719,1.031229978,1.022075046,1.041066161,1.024712134,1.045542359,1.042089511,1.048049629,1.06671612,1.053774703,1.02882465,1.006335098,1.00060462,0.991621464,0.996041983,0.933532132,0.936242952,0.927556071,0.88340101,0.935525528,0.796470599,0.850228952,0.892390578,0.901031137,0.92689181,1.013736394,1.011106617,0.934762646,0.855373755,0.681065665,0.629796243,0.601076973,0.59489018,0.568145529,0.520234541,0.490601046,0.465170682,0.442593724,0.432019469,0.378281009,0.376109523,0.350655123,0.346462027,0.295287479,,,,,,,,
2014,0.927592913,0.971310348,0.946466608,0.953162889,0.955256699,0.982926773,0.985694684,1.003103934,1.000895355,1.015873105,1.04443092,1.084778918,1.077641289,1.130563805,1.098500966,1.142617993,1.14283872,1.138314826,1.141932984,1.040907628,1.076485867,1.13014269,1.068353547,1.093985655,0.9411066,1.058632375,1.190440049,1.25881485,1.348147844,1.358193365,1.421639821,1.297262752,1.135013911,1.036073085,0.947554368,0.888387812,0.914714554,0.859253108,0.811893309,0.77514897,0.740570954,0.670457834,0.633503746,0.565750605,0.495864976,0.426542829,0.415564727,0.346225378,,,,,,,,,,,,
2015,1.035158893,0.996534147,0.976341969,0.975421455,0.990891115,0.986001893,1.038640361,1.050244026,1.077221125,1.061258426,1.040693975,1.077349842,1.108712875,1.11920633,1.114914306,1.110526367,1.175579971,1.194880676,1.215246139,1.212334598,1.084013169,1.163140668,1.226157963,1.368529133,1.503911083,1.547606367,1.51337461,1.455719697,1.37030527,1.2298723,1.17541198,1.069255572,1.059337911,1.01632803,0.934290339,0.913098772,0.87791219,0.852093404,0.844597048,0.778521732,0.74191704,0.701225572,0.673573989,0.633123835,,,,,,,,,,,,,,,,
2016,0.979687299,0.996439212,1.020673801,0.969365906,0.998424874,1.118432322,1.137168903,1.022302302,1.053392427,1.050139323,1.12696169,1.075195304,1.123743967,1.164940251,1.157772921,1.201956266,1.09496269,1.254603492,1.351683271,1.493846906,1.491441495,1.631092057,1.574331754,1.469494916,1.392190984,1.227243125,1.168364672,1.127881762,1.128320127,1.111862354,1.06583136,1.072285043,1.028692033,0.993119986,0.961601874,0.912252203,0.886411536,0.828628539,0.814469243,0.758952965,,,,,,,,,,,,,,,,,,,,
2017,0.968315192,0.991952281,0.979153837,0.986441107,1.02529606,1.015184344,1.054036998,1.04705616,1.079723214,1.108648295,1.12128348,1.145018058,1.046910429,1.098522856,1.208210968,1.356717452,1.409547074,1.498301034,1.469040335,1.395210068,1.376766556,1.287786863,1.219244139,1.187368754,1.197138617,1.186293813,1.152514807,1.135045873,1.128852841,1.087056891,1.081489666,1.001019056,0.965851525,0.93966839,0.906884464,0.860394449,,,,,,,,,,,,,,,,,,,,,,,,
2018,0.917168692,0.977827901,1.013224675,1.010273993,1.0735362,1.063738948,1.089593124,1.136754544,1.056809897,1.147466272,1.287638548,1.424878802,1.571789578,1.666439729,1.701522416,1.660031211,1.580348572,1.448267751,1.365645231,1.34530368,1.346741635,1.345110093,1.327035409,1.31207533,1.309195375,1.303197464,1.255935893,1.189375612,1.183221277,1.202294432,1.109989583,1.03119196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1.005245342,1.003284568,0.999636601,1.04424214,1.011124111,1.26007194,1.218557873,1.353242058,1.446408488,1.579893822,1.603101969,1.543495293,1.447331853,1.321842114,1.265648656,1.259331525,1.25397077,1.264974626,1.23018983,1.232723986,1.220822573,1.220303167,1.214231183,1.127759035,1.096791737,1.130080867,1.098621327,1.045961113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0.914333378,1.027866996,1.082290301,1.143963104,1.243279083,1.338336896,1.374112445,1.389307207,1.365887554,1.281524466,1.244307517,1.239876547,1.248400445,1.247305521,1.22053677,1.249423146,1.255261496,1.256226298,1.250341716,1.219458702,1.222929488,1.243061827,1.231002011,1.178473996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1.058890946,1.13195345,1.241266023,1.222504569,1.231734791,1.193421394,1.152098781,1.149419054,1.157466781,1.16892164,1.165321369,1.146280613,1.150940807,1.152209463,1.155518956,1.162290995,1.161542581,1.177830555,1.185581042,1.154849111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1.018178168,0.99018703,0.982809604,1.002805327,1.029263913,1.070397787,1.096392268,1.124458277,1.152860053,1.151542991,1.169450752,1.171818078,1.175515783,1.213563097,1.246674752,1.208946093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
